topic,year,link text,link url,subtopic,question wording,answer 1 text,answer 1 value,answer 2 text,answer 2 value,main text,method
Public opinion of the Supreme Court as an institution,2024,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Approve,11%,Disapprove,89%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2023,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,19%,Not Confident,81%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2023,name of poll,link,Supreme Court favorability," Fusce egestas, odio ornare mollis auctor?",Approve,12%,Disapprove,88%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2022,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,65%,Not Confident,35%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2022,name of poll,link,Supreme Court favorability," Fusce egestas, odio ornare mollis auctor?",Approve,95%,Disapprove,5%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2022,name of poll,link,Supreme Court confidence ," Fusce egestas, odio ornare mollis auctor?",Confident,67%,Not Confident,33%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2021,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Approve,56%,Disapprove,44%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2021,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,82%,Not Confident,18%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2021,name of poll,link,Supreme Court confidence ," Fusce egestas, odio ornare mollis auctor?",Approve,12%,Disapprove,88%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2021,name of poll,link,Supreme Court confidence ," Fusce egestas, odio ornare mollis auctor?",Confident,99%,Not Confident,1%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2020,name of poll,link,Supreme Court favorability," Fusce egestas, odio ornare mollis auctor?",Approve,37%,Disapprove,63%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion of the Supreme Court as an institution,2020,name of poll,link,Supreme Court approval," Fusce egestas, odio ornare mollis auctor?",Confident,53%,Not Confident,47%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
Public opinion on life tenure,2025,name of poll,link,Support for term limits," Fusce egestas, odio ornare mollis auctor?",Approve,22%,Disapprove,78%,"Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim.","Sed sed ante augue. Etiam lacinia purus a pulvinar imperdiet. Fusce egestas, odio ornare mollis auctor, nisl lacus vehicula velit, ac cursus justo neque a risus. In lobortis justo vel feugiat pulvinar. Sed nec odio vitae massa finibus maximus non sit amet erat. Mauris ut massa nisl. Vestibulum sit amet convallis turpis. Etiam feugiat velit in pharetra pharetra. Nam semper ut lectus id iaculis. Pellentesque consectetur volutpat massa, nec elementum nisi molestie non. Fusce tincidunt hendrerit efficitur. Aliquam commodo ornare nunc in dignissim."
