topic,year,subtopic,Description,method
Public opinion on term limits (and mandatory retirement age),2024,placeholder theme 5,"A July <a href=""https://www.foxnews.com/official-polls/fox-news-poll-supreme-court-approval-rating-drops-record-low"">Fox News Poll</a> found that 78% of respondents favor limiting Supreme Court justices to 18-year terms. By party: 89% of Democrats; 76% of Independents; and 68% of Republicans favor.","<a href=""https://static.foxnews.com/foxnews.com/content/uploads/2024/07/Fox_July-7-10-2024_National_Topline_July-16-Release.pdf"">Methodology</a>: Conducted July 7-10, 2024 under the joint direction of Beacon Research (D) and Shaw &amp; Company Research (R), this Fox News Poll includes interviews with a sample of 1,210 registered voters (RV) nationwide who were randomly selected from a national voter file. Respondents spoke with live interviewers on landlines (132) and cellphones (787) or completed the survey online by following a link received via text message (291)."
Public opinion on term limits (and mandatory retirement age),2023,placeholder theme 5,"A September <a href=""https://www.pewresearch.org/politics/2023/09/19/americans-dismal-views-of-the-nations-politics/"">Pew Research Center Poll</a> found that 74% of respondents favor putting a maximum age limit in place for Supreme Court justices. By party: 82% of Democrats/Lean Democrats and 68% of Republicans/Lean Republicans favor.","<a href=""https://www.pewresearch.org/politics/2023/09/19/views-of-politics-methodology/"">Methodology</a>: Data in this report is drawn from ATP Wave 130, conducted from July 10 to July 16, 2023. A total of 8,480 panelists responded out of 10,069 who were sampled, for a response rate of 84%. The margin of sampling error for the full sample of 8,480 respondents is plus or minus 1.5 percentage points."
Public opinion on term limits (and mandatory retirement age),2023,placeholder theme 4,"An April <a href=""https://maristpoll.marist.edu/polls/medication-abortions-and-the-u-s-supreme-court/"">NPR/PBS NewsHour/Marist Poll</a> found that 68% of respondents think Supreme Court justices should only serve on the Court for a limited time. By party: 78% of Democrats; 66% of Independents; and 57% of Republicans support.","<a href=""https://maristpoll.marist.edu/wp-content/uploads/2023/04/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-TABLES_424_202304201559.pdf"">Methodology</a>: This survey of 1,291 adults was conducted April 17th through April 19th, 2023 by the Marist Poll sponsored in partnership with NPR and PBS NewsHour. Adults 18 years of age and older residing in the United States were contacted through a multi-mode design: By phone using live interviewers, by text, or online."
Public opinion on term limits (and mandatory retirement age),2022,placeholder theme 6,"A July <a href=""https://apnorc.org/projects/americans-have-lost-confidence-in-the-supreme-court/"">Associated Press-NORC Center for Public Affairs Research Poll</a> found that 67% of respondents support setting a specific number of years that Supreme Court justices can serve instead of serving life terms.","<a href=""https://apnorc.org/wp-content/uploads/2022/07/July-2022-Methodology.pdf"">Methodology</a>: Data were collected using the AmeriSpeak Omnibus, a monthly multi-client survey using NORC’s probability-based panel designed to be representative of the U.S. household population. Interviews for this survey were conducted between July 14 and July 17, 2022 with adults aged 18 and over representing the 50 states and the District of Columbia. Panel members were randomly drawn from AmeriSpeak, and 1,085 completed the survey—1,046 via the web and 39 by telephone."
Public opinion on term limits (and mandatory retirement age),2022,placeholder theme 2,"A July <a href=""https://static.foxnews.com/foxnews.com/content/uploads/2022/07/Fox_July-10-13-2022_Complete_National_Cross-Tabs_July-17-Release.pdf"">Fox News/Beacon Research/Shaw &amp; Company Research Poll</a> found that 66% of respondents favor limiting Supreme Court justices to 18-year terms. By party: 81% of Democrats; 66% of Independents; and 51% of Republicans favor.","Methodology: Conducted July 10-13, 2022 under the joint direction of Beacon Research (D) and Shaw &amp; Company Research (R), this Fox News national poll includes interviews among 1,001 registered voters who were randomly selected from a national voter file and spoke with live interviewers on both landlines and cellphones. Results based on the full sample have a margin of sampling error of plus or minus 3 percentage points"
Public opinion on term limits (and mandatory retirement age),2022,placeholder theme 6,"A May <a href=""https://poll.qu.edu/poll-release?releaseid=3846"">Quinnipiac University Poll</a> found that 69% of respondents support limiting the number of years a justice can serve on the Supreme Court. By party: 77% of Democrats; 69% of Independents; and 61% of Republicans support.","<a href=""https://poll.qu.edu/images/polling/us/us05182022_demos_uirc64.pdf"">Methodology</a>: This RDD telephone survey was conducted from May 12 – 16, 2022 throughout the nation. Responses are reported for 1,586 adults with a margin of sampling error of +/- 2.5 percentage points."
Public opinion on term limits (and mandatory retirement age),2022,placeholder theme 0,"A March <a href=""https://www.uml.edu/docs/2022-National-Topline-324_tcm18-350201.pdf"">UMass Lowell Center for Public Opinion Poll</a> found that 71% of respondents either “strongly favor” or “somewhat favor” term limits for Supreme Court justices. By party: 84% of Democrats; 70% of Independents; 56% of Republicans favor.","Methodology: Conducted March 15-21, 2022; interviewed 1,339 respondents who were then matched down to a sample of 1,000 to produce the national sample. The respondents were matched to a sampling frame on gender, age, race, and education."
Public opinion on term limits (and mandatory retirement age),2021,placeholder theme 3,"A November <a href=""https://law.marquette.edu/poll/wp-content/uploads/2021/11/05_SCCourtPressRelease.pdf"">Marquette University Law School Poll</a> found that 72% of respondents favor fixed terms for Supreme Court justices, rather than life terms.","<a href=""https://law.marquette.edu/poll/wp-content/uploads/2021/11/MLSPSC_05_NovemberMethodology.pdf"">Methodology</a>: The Marquette Law School Poll national survey of public views of the U.S. Supreme Court and national issues was conducted November 1-10, 2021. A total of 1004 adults were interviewed by SSRS of Glen Mills PA, using the SSRS Opinion Panel, a representative probability-based panel of adults ages 18 and over living in the United States, recruited using the SSRS Omnibus poll and through address-based sampling (ABS). The margin of error is 39 percentage points for the full sample. The survey is a general population sample of U.S. adults age 18 and over living in the 50 states."
Public opinion on term limits (and mandatory retirement age),2021,placeholder theme 4,"A September <a href=""https://law.marquette.edu/poll/wp-content/uploads/2021/09/MLSPSC04Crosstabs_CourtItems.html"">Marquette University Law School Poll</a> found that…","Methodology: conducted September 7-16, 2021. A total of 1411 adults were interviewed by SSRS of Glen Mills PA, using the SSRS Opinion Panel, a representative probability-based panel of adults ages 18 and over living in the United States, recruited using the SSRS Omnibus poll and through address-based sampling (ABS). The margin of error is 34 percentage points for the full sample. The survey is a general population sample of U.S. adults age 18 and over living in the 50 states."
Public opinion on term limits (and mandatory retirement age),2021,placeholder theme 7,"An April <a href=""https://www.ipsos.com/en-us/news-polls/majority-americans-support-placing-term-age-limit-supreme-court-seats"">Reuters/Ipsos Poll</a> found that 63% of respondents support placing a term or age limit on Supreme Court seats. By party: 71% of Democrats; 64% of Independents; and 60% of Republicans support.","<a href=""https://www.ipsos.com/sites/default/files/ct/news/documents/2021-04/Ipsos%20Poll%20-%20Supreme%20Court%20Topline%20%26%20Write-up%20April%2019%202021.pdf"">Methodology</a>: conducted between April 15-16, 2021. For this survey, a sample of 1,003 adults age 18+ from the continental U.S., Alaska, and Hawaii was interviewed online in English."
Public opinion on term limits (and mandatory retirement age),2020,placeholder theme 4,"An October <a href=""https://www.uml.edu/docs/2020-Youth-Topline_tcm18-331314.pdf"">UMass Lowell Center for Public Opinion Poll</a> found that 72% of respondents either “strongly favor” or “somewhat favor” term limits for Supreme Court justices. By party: 82% of Democrats; 69% of Independents; and 64% of Republicans either “strongly favor” or “somewhat favor.”","Methodology: Survey conducted October 5-12, interviewed 1,598 respondents who were then matched down to a sample of 1000 to produce the national sample. The respondents were matched to a sampling frame on gender, age, race, and education."
Public opinion on term limits (and mandatory retirement age),2020,placeholder theme 7,"A September <a href=""https://law.marquette.edu/poll/wp-content/uploads/2020/09/MLSPSCOTUS02Crosstabs_Legitimacy.html"">Marquette University Law School Poll</a> found that...","<a href=""https://law.marquette.edu/poll/wp-content/uploads/2020/09/MLSPSC02Methodology.pdf"">Methodology</a>: conducted September 8-15, 2020. A total of 1523 adults were interviewed by NORC at the University of Chicago using its AmeriSpeak Panel as the sample source. The margin of error is 33 percentage points for the full sample. The survey is a general population sample of U.S. adults age 18 and over living in the 50 states."
Public opinion on ethics reform,2025,placeholder theme 4,"A September <a href=""https://www.annenbergpublicpolicycenter.org/americans-knowledge-of-civics-increases-annenberg-survey-finds/"">Annenberg Public Policy Center Poll</a> found that 78% of respondents support the creation of a formal ethics code for Supreme Court justices that allows for justices to be investigated if they are accused of an ethical violation.","<a href=""https://www.annenbergpublicpolicycenter.org/wp-content/uploads/Constitution_Day_Topline_2025.pdf"">Methodology</a>: Annenberg Institutions of Democracy (AIOD) National Panel, a custom-recruited panel of non-institutionalized U.S. citizens aged 18 or older. Data collection was conducted in three replicates from May 13 – July 17, 2025, among a sample of 1,334 respondents."
